mag0,mag1,mag_mean,scale,scale_parmin,scale_parmax,offset,offset_parmin,offset_parmax
8.0,8.5,8.26445641925,2.76479803633e-09,0.0,0.0200566404449,0.00618761804676,-0.00129575165289,0.00136082796385
8.5,9.0,8.77152078767,0.0147929195345,-0.0432192775784,0.0432192775784,0.00701534145211,-0.0014573292283,0.00118838752798
9.0,9.25,9.12755847623,5.32324164703e-08,0.0,0.0697115901269,0.0124158234668,-0.00254770484251,0.00243190007694
9.25,9.5,9.3707884552,0.386880013533,-0.0839517817175,0.0839517817175,0.0102037787491,-0.00247273109291,0.00247273109291
9.5,9.75,9.62899191822,0.234166365738,-0.104395531681,0.104395531681,0.0255076403842,-0.00335577526205,0.00335577526205
9.75,10.0,9.87169063905,0.864196086153,-0.151785488773,0.151785488773,0.0266826828371,-0.0042131581762,0.0042131581762
10.0,10.3,10.1330972614,1.84576435908,-0.245739391549,0.245739391549,0.0340131125506,-0.00616522448295,0.00616522448295
10.3,10.6,10.4260938847,4.18248932681,-0.450440979919,0.450440979919,0.0837441825199,-0.01380209518,0.01380209518
10.6,11.0,10.734686383,3.46577971129,-0.828264273283,0.828264273283,0.248132473512,-0.0289683398017,0.0289683398017
