dir,day,frac_year,temp,temp_source,zodib,limit_z,count,count_adj,count_z,count_adj_z
/proj/sot/ska/data/aca_dark_cal/2012198,2012:198,2012.5396175,-18.978,HDR3,1.391472,101.837139067,76760,76760,75500,75500
/proj/sot/ska/data/aca_dark_cal/2012287,2012:287,2012.78278689,-16.831,HDR3,1.98288,129.363866217,112327,78765,110769,75589
/proj/sot/ska/data/aca_dark_cal/2013011,2013:011,2013.02876712,-16.4,HDR3,1.266192,134.670974559,120674,79904,119110,77862
/proj/sot/ska/data/aca_dark_cal/2013096,2013:096,2013.26164384,-16.203,HDR3,1.68318,138.178220657,127936,82583,126420,79497
/proj/sot/ska/data/aca_dark_cal/2013191,2013:191,2013.52191781,-15.312,HDR3,1.32192,151.817717756,145276,83074,143587,81160
/proj/sot/ska/data/aca_dark_cal/2013281,2013:281,2013.76849315,-15.887,HDR3,0.948024,142.015555706,137892,85042,137892,83043
/proj/sot/ska/data/aca_dark_cal/2014041,2014:041,2014.1109589,-14.609,HDR3,1.645488,164.506606376,165093,86652,163375,83929
/proj/sot/ska/data/aca_dark_cal/2014104,2014:104,2014.28356164,-15.815,HDR3,1.916676,144.514663982,143852,88170,142199,85075
/proj/sot/ska/data/aca_dark_cal/2014220,2014:220,2014.60136986,-14.943182373,AACCCDPT,1.47528,158.322285314,175264,96868,173490,94826
/proj/sot/ska/data/aca_dark_cal/2014289,2014:289,2014.79041096,-13.888,HDR3,1.92456,178.528442735,188168,91337,186412,88670
/proj/sot/ska/data/aca_dark_cal/2015014,2015:014,2015.0369863,-14.911,HDR3,1.94562,159.618364716,167276,91008,165513,88135
/proj/sot/ska/data/aca_dark_cal/2015090,2015:090,2015.24520547,-13.715,HDR3,1.458324,181.114970953,193595,92260,191791,89690
